user_id,movie_id,movie_title,emotion,event_type,rating,liked,watched_duration_minutes
user_4827,movie_0,The Prestige,excited,watched,8.5,1,114
user_2284,movie_1,Inside Out,angry,watched,8.6,1,84
user_6364,movie_2,Singin' in the Rain,excited,watched,7.8,1,89
user_7055,movie_3,Atomic Blonde,sad,watched,6.4,0,112
user_5929,movie_4,Horrible Bosses,neutral,watched,8.6,1,169
user_9336,movie_5,John Wick,calm,watched,8.7,0,147
user_6026,movie_6,Gladiator,sad,browsed,8.0,0,176
user_9481,movie_7,Mission: Impossible,neutral,watched,7.2,0,117
user_9810,movie_8,Casablanca,angry,watched,6.0,0,173
user_6774,movie_9,The Conjuring,stressed,watched,7.4,1,98
user_5121,movie_10,Mindhunter,excited,watched,7.0,1,82
user_4263,movie_11,X-Men: Days of Future Past,excited,watched,7.1,1,177
user_2353,movie_12,Mission: Impossible,sad,watched,7.6,0,112
user_9330,movie_13,Mindhunter,neutral,watched,9.0,1,93
user_1398,movie_14,La La Land,neutral,watched,6.7,0,168
user_3843,movie_15,The Notebook,calm,watched,9.6,1,89
user_4366,movie_16,The Lion King,neutral,watched,7.1,1,167
user_1120,movie_17,Spider-Man: Homecoming,stressed,watched,6.5,0,148
user_9212,movie_18,The Godfather,angry,watched,8.6,1,161
user_5428,movie_19,Wall-E,excited,watched,6.9,0,140
user_6768,movie_20,Se7en,sad,watched,7.4,1,142
user_6843,movie_21,Why Did You Kill Me,happy,watched,6.9,0,101
user_8857,movie_22,The Lion King,sad,watched,6.7,0,129
user_7077,movie_23,The Game,calm,watched,7.8,1,135
user_6602,movie_24,Hidden Figures,stressed,watched,8.6,0,97
user_2879,movie_25,The Prestige,angry,watched,8.8,0,94
user_7599,movie_26,The Great Barrier Reef,excited,watched,7.2,1,156
user_6901,movie_27,Divergent,happy,watched,9.1,1,95
user_1817,movie_28,Black Swan,excited,watched,8.3,0,99
user_7278,movie_29,Bridesmaids,sad,watched,9.0,1,169
user_1556,movie_30,Ratatouille,stressed,browsed,7.6,0,126
user_9331,movie_31,Titanic,excited,watched,6.5,0,148
user_7924,movie_32,A Quiet Place,neutral,watched,6.3,0,136
user_7405,movie_33,The Matrix,happy,watched,8.8,1,173
user_9398,movie_34,Life,sad,watched,8.0,1,98
user_7129,movie_35,X-Men: Days of Future Past,calm,watched,8.5,1,134
user_2844,movie_36,Sinister,happy,browsed,7.5,0,83
user_3561,movie_37,Cast Away,sad,watched,7.4,1,168
user_7142,movie_38,Ratatouille,happy,watched,8.9,1,116
user_2349,movie_39,Our Planet,happy,browsed,9.1,0,115
user_6616,movie_40,Central Intelligence,stressed,watched,5.7,0,136
user_2994,movie_41,The Ring,excited,watched,7.9,1,149
user_8146,movie_42,Top Gun,angry,watched,9.2,0,155
user_7854,movie_43,Scarface,sad,watched,9.5,1,140
user_6442,movie_44,The Godfather,excited,watched,8.1,1,142
user_3812,movie_45,Squid Game,sad,watched,8.0,0,113
user_2458,movie_46,Spider-Man: Homecoming,happy,watched,7.6,0,164
user_4036,movie_47,Sinister,happy,watched,8.6,0,125
user_9731,movie_48,X-Men: Days of Future Past,sad,watched,7.8,0,99
user_4975,movie_49,Fast & Furious,angry,watched,9.4,1,106
user_9621,movie_50,Frozen,happy,watched,8.7,1,133
user_1017,movie_51,Ex Machina,stressed,watched,9.9,1,121
user_2817,movie_52,Ex Machina,excited,watched,9.9,0,140
user_1167,movie_53,Se7en,excited,watched,8.6,1,168
user_8597,movie_54,Captain America,happy,watched,6.2,0,167
user_5124,movie_55,The Pursuit of Happyness,sad,browsed,8.5,0,170
user_7557,movie_56,Finding Nemo,angry,watched,7.4,0,148
user_7944,movie_57,Why Did You Kill Me,stressed,watched,9.9,0,145
user_9295,movie_58,Sherlock Holmes,stressed,watched,6.3,0,160
user_6159,movie_59,Toy Story,happy,watched,6.4,0,176
user_2052,movie_60,Jump Street,angry,watched,7.8,0,136
user_6717,movie_61,127 Hours,sad,watched,8.0,1,128
user_4104,movie_62,Scarface,sad,browsed,7.1,0,80
user_2365,movie_63,The Game,excited,watched,8.8,1,106
user_7718,movie_64,Requiem for a Dream,happy,watched,8.0,1,103
user_8683,movie_65,Central Intelligence,excited,watched,7.5,1,87
user_7965,movie_66,The Hangover,calm,watched,8.5,0,167
user_5283,movie_67,Into the Wild,happy,browsed,6.4,0,93
user_6116,movie_68,The Conjuring,angry,browsed,7.1,0,147
user_8184,movie_69,Baby Driver,neutral,watched,8.6,1,159
user_6683,movie_70,Rocky,happy,watched,8.2,1,119
user_4250,movie_71,Trainspotting,stressed,watched,10.0,1,82
user_3936,movie_72,Drive,sad,watched,8.8,0,105
user_3495,movie_73,Mean Girls,angry,watched,8.7,1,178
user_6295,movie_74,Don't Breathe,angry,watched,7.4,1,135
user_8072,movie_75,Breakthrough,calm,browsed,8.1,0,142
user_8975,movie_76,Sinister,stressed,watched,10.0,1,88
user_4942,movie_77,Jurassic World,neutral,watched,8.6,1,112
user_5504,movie_78,Mission: Impossible,angry,watched,6.2,0,171
user_9750,movie_79,Memento,stressed,watched,7.4,0,171
user_1797,movie_80,Pulp Fiction,calm,browsed,10.0,0,160
user_2283,movie_81,Squid Game,happy,watched,7.2,0,170
user_1569,movie_82,The Wolf of Wall Street,sad,browsed,9.9,0,82
user_7233,movie_83,Ratatouille,excited,watched,8.0,1,87
user_1763,movie_84,Moana,angry,watched,6.6,0,155
user_7333,movie_85,Murder on the Orient Express,sad,browsed,8.5,0,164
user_5454,movie_86,Breakfast at Tiffany's,stressed,watched,6.1,0,174
user_8776,movie_87,Trainspotting,angry,watched,8.0,1,130
user_8839,movie_88,Rocky,stressed,browsed,8.3,0,96
user_1289,movie_89,Mean Girls,angry,watched,8.4,1,165
user_1186,movie_90,Frozen,angry,watched,9.5,0,88
user_6776,movie_91,Jurassic World,angry,watched,9.3,1,157
